Pathogen,Priority score,Priority order,Pathogen subtypes/names,Also known as,Pathogen Type,Priority type,Disease Type,Family,Priority,Disease,taxids,BRC's appearance,WasteWater,Afecting species,WHO,NIAID,ECDC,AFRICACDC,WOAH,CDC,FAO,EFSA,EU4S-DEEP,UKHSA,Number of priority lists,"Number of appearances (WHO, NIAD, ECDC)","Number of appearances (WHO, NIAD, ECDC, AFRICACDC)",Notes,NIAID Notes
Trematosphaeria grisea,6,94,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Trematosphaeriaceae,High Priority Group,Eumycetoma,1489895,,,,X,,,,,,,,,,,1,1,,
Falciformispora senegalensis,6,95,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Trematosphaeriaceae,High Priority Group,Eumycetoma,1489897,,,,X,,,,,,,,,,,1,1,,
Acremonium spp.,6,96,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,,High Priority Group,Eumycetoma,159075,,,,X,,,,,,,,,,,1,1,,
Scedosporium apiospermum,6,97,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Microascaceae,High Priority Group,Eumycetoma,563466,,,,X,,,,,,,,,,,1,1,,
Curvularia spp.,6,98,,,Fungi,"AMR/Nosocomial infection, Pandemic preparedness",,Pleosporaceae,High Priority Group,Eumycetoma,5502,,,,X,,,,,,,,,,,1,1,,
Neisseria meningitidis,5,99,,meningococcus,Bacteria,vaccine-preventable,Vaccine-Preventable Disease,Neisseriaceae,High Priority Group,Meningococcal meningitis,487,,,,,,X,X,,,,,,,,1,2,,
Bonamia exitiosa,4,100,,,Parasite (Protozoa),Animal disease,,Haplosporidiidae,,,362532,,,Molluscs,,,,,X,,,,,,,0,0,,
Bonamia ostreae,4,101,,,Parasite (Protozoa),Animal disease,,Haplosporidiidae,,,126728,,,Molluscs,,,,,X,,,,,,,0,0,,
Marteilia refringens,4,102,,,Parasite (Protozoa),Animal disease,,Marteiliidae,,,107386,,,Molluscs,,,,,X,,,,,,,0,0,,
Perkinsus marinus,4,103,,,Parasite (Protozoa),Animal disease,,Perkinsidae,,,31276,,,Molluscs,,,,,X,,,,,,,0,0,,
Perkinsus olseni,4,104,,,Parasite (Protozoa),Animal disease,,Perkinsidae,,,32597,,,Molluscs,,,,,X,,,,,,,0,0,,
Batrachochytrium dendrobatidis,3,105,,,Fungi,Animal disease,,Batrachochytriaceae,,,109871,,,Amphibians,,,,,X,,,,,,,0,0,,
Batrachochytrium salamandrivorans,3,106,,,Fungi,Animal disease,,Batrachochytriaceae,,,1357716,,,Amphibians,,,,,X,,,,,,,0,0,,
Aphanomyces astaci ,3,107,,,Fungi,Animal disease,,Leptolegniaceae,,Crayfish plague,112090,,,Crustaceans,,,,,X,,,,,,,0,0,,
Aphanomyces invadans,3,108,,A. invadans (syn. A. piscicida),Fungi,Animal disease,,Saprolegniaceae,,Epizootic ulcerative syndrome,157072,,,Fish,,,,,X,,,,,,,0,0,,
Bandavirus dabieense,3,109,,,Virus,Pandemic preparedness,,Phenuiviridae,,,2748958,,,,X,,,,,X,,,,,,1,1,,
Echinococcus granulosus,3,110,,,Parasite (Metazoa),Animal disease,Zoonosis,Taeniidae,,hydatidosis,6210,,,Multiple Species,,,X,,X,,,,,,,1,1,,
Echinococcus multilocularis,3,111,,,Parasite (Metazoa),Animal disease,Zoonosis,Taeniidae,,alveolar echinococcosis,6211,,,Multiple Species,,,X,,X,,,,,,,1,1,,
Vibrio parahaemolyticus,3,112,,,Bacteria,"Animal disease, Biodefense/Bioterrorism",,Vibrionaceae,,Acute hepatopancreatic necrosis disease,670,,,Crustaceans,,X,,,X,,,,,,,1,1,,
Ehrlichia sp.,3,113,,,Bacteria,Biodefense/Bioterrorism,,Anaplasmataceae,,,943,,,,,X,,,,,,,,,,1,1,,
Mammarenavirus chapareense,3,114,,Chapare virus,Virus,Biodefense/Bioterrorism,,Arenaviridae,,,3052302,,,,,X,,,,,,,,,,1,1,,Viral hemorrhagic fevers (arenaviruses)
Mammarenavirus guanaritoense,3,115,,Guanarito virus,Virus,Biodefense/Bioterrorism,,Arenaviridae,,,3052307,,,,,X,,,,,,,,,,1,1,,Viral hemorrhagic fevers (arenaviruses)
Mammarenavirus juninense,3,116,,Junin virus,Virus,"Biodefense/Bioterrorism, Pandemic preparedness",,Arenaviridae,,,2169991,,,,,X,,,,,,,,,,1,1,,"Viral hemorrhagic fevers (arenaviruses), Antiviral Program for Pandemics"
Mammarenavirus lujoense,3,117,,Lujo virus,Virus,Biodefense/Bioterrorism,,Arenaviridae,,,3052314,,,,,X,,,,,,,,,,1,1,,Viral hemorrhagic fevers (arenaviruses)
Mammarenavirus choriomeningitidis,3,118,,Lymphocytic choriomeningitis virus,Virus,Biodefense/Bioterrorism,,Arenaviridae,,,3052303,,,,,X,,,,,,,,,,1,1,,
Mammarenavirus machupoense,3,119,,Machupo virus,Virus,Biodefense/Bioterrorism,,Arenaviridae,,,3052317,,,,,X,,,,,,,,,,1,1,,Viral hemorrhagic fevers (arenaviruses)
Mammarenavirus choriomeningitidis,3,120,,,Virus,Pandemic preparedness,,Arenaviridae,,,3052303,,,,,X,,,,,,,,,,1,1,,Antiviral Program for Pandemics
Mammarenavirus caliense ,3,121,Pichinde virus,Pichinde virus,Virus,Pandemic preparedness,,Arenaviridae,,,3052300,,,,,X,,,,,,,,,,1,1,,Antiviral Program for Pandemics
Mammarenavirus tacaribeense,3,122,,,Virus,Pandemic preparedness,,Arenaviridae,,,3052328,,,,,X,,,,,,,,,,1,1,,Antiviral Program for Pandemics
Borrelia mayonii,3,123,,,Bacteria,Biodefense/Bioterrorism,,Borreliaceae,,Lyme disease,1674146,,,,,X,,,,,,,,,,1,1,,
Borrelia miyamotoi,3,124,,,Bacteria,Biodefense/Bioterrorism,,Borreliaceae,,,47466,,,,,X,,,,,,,,,,1,1,,
Burkholderia mallei,3,125,,,Bacteria,Biodefense/Bioterrorism,,Burkholderiaceae,,glanders,13373,,,,,X,,,,,,,,,,1,1,,
Burkholderia pseudomallei,3,126,,,Bacteria,Biodefense/Bioterrorism,,Burkholderiaceae,,melioidosis,28450,,,,,X,,,,,,,,,,1,1,,
Chlamydia psittaci,3,127,,,Bacteria,Biodefense/Bioterrorism,,Chlamydiaceae,,psittacosis,83554,,,,,X,,,,,,,,,,1,1,,
Clostridium botulinum,3,128,,,Bacteria,Biodefense/Bioterrorism,,Clostridiaceae,,Botulism,1491,,,,,,X,,,,,,,,,1,1,,
Clostridium tetani,3,129,,,Bacteria,vaccine-preventable,,Clostridiaceae,,Tetanus,1513,,,,,,X,,,,,,,,,1,1,,
Corynebacterium diphtheriae,3,130,,,Bacteria,vaccine-preventable,,Corynebacteriaceae,,Difteria,1717,,,,,,X,,,,,,,,,1,1,,
Citrobacter spp.,3,131,,,Bacteria,AMR/Nosocomial infection,,Enterobacteriaceae,,,544,,,,X,,,,,,,,,,,1,1,third-generation cephalosporin-resistant,
Enterobacter spp.,3,132,,,Bacteria,AMR/Nosocomial infection,,Enterobacteriaceae,,,547,,,,X,,,,,,,,,,,1,1,"carbapenem-resistant, third-generation cephalosporin-resistant",
Orthoflavivirus kyasanurense ,3,133,Alkhumra hemorrhagic fever virus,Alkhurma virus,Virus,Biodefense/Bioterrorism,,Flaviviridae,,,3048170,,,,,X,,,,,,,,,,1,1,,Tickborne hemorrhagic fever flaviviruses
